analysis_version,classification,model_specification,analysis_role,sensitivity_dimension,review_id,group_id,test_name,starting_probability,sensitivity,specificity,information_bits,fraction_entropy_removed,post_negative_probability,crossing_probability
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.17,0.807049311811851,0.7889868234329308,0.15852839620247822,0.24103275713635905,0.04770029452743224,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.18000000000000002,0.807049311811851,0.7889868234329308,0.16555397090350588,0.2434341402101253,0.0509477887883152,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.19,0.807049311811851,0.7889868234329308,0.1723433297280394,0.24568829893174052,0.05425257206715023,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.2,0.807049311811851,0.7889868234329308,0.1788987698007898,0.24780690911980952,0.05761617380698271,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.21000000000000002,0.807049311811851,0.7889868234329308,0.18522246955972757,0.2498001094090139,0.06104017838167479,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.22,0.807049311811851,0.7889868234329308,0.1913164941243178,0.25167675989681204,0.0645262275843384,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.23,0.807049311811851,0.7889868234329308,0.19718280025589252,0.25344464708551345,0.06807602325227968,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.24000000000000002,0.807049311811851,0.7889868234329308,0.20282324094358015,0.25511064810526973,0.07169133003727256,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.25,0.807049311811851,0.7889868234329308,0.20823956964574267,0.25668086364903886,0.07537397833063637,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.26,0.807049311811851,0.7889868234329308,0.21343344421381605,0.25816072657243117,0.07912586735330425,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.27,0.807049311811851,0.7889868234329308,0.21840643052273012,0.2595550913546616,0.08294896842184295,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.28,0.807049311811851,0.7889868234329308,0.22316000582965706,0.26086830835257113,0.08684532840222473,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.29000000000000004,0.807049311811851,0.7889868234329308,0.22769556188068896,0.2621042858571109,0.09081707336406544,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.3,0.807049311811851,0.7889868234329308,0.23201440778310178,0.2632665422797792,0.09486641244903567,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.31,0.807049311811851,0.7889868234329308,0.23611777265914613,0.2643582502865379,0.09899564196823471,0.1280262761348617
