replicate,median_fraction_5,median_fraction_20,median_fraction_50,sampled_profile_count
234,0.2283572229168268,0.2897856256043002,0.3136224450347014,291
235,0.2225513998401464,0.2795367314164046,0.3055726333563632,259
236,0.21425135835283987,0.27257653441150925,0.28500065580936473,276
237,0.2311241001150748,0.2919804310767402,0.306464594352574,283
238,0.2243189748024541,0.2798738357434901,0.3056522978479856,277
239,0.24733673649670565,0.31333029412703517,0.3330320061972417,252
240,0.2193168940471771,0.27642284912469794,0.29376352310364295,268
241,0.222305998285177,0.2795367314164046,0.3058201828173736,269
242,0.23245632896409715,0.2914571796061791,0.3085005178638117,274
243,0.2311241001150748,0.2913044791597471,0.306464594352574,277
244,0.2475169164389699,0.3091446466503045,0.3326397646085046,273
245,0.2405158114862979,0.293128733608058,0.3136224450347014,279
246,0.2407504271599652,0.300997052037025,0.3312162367190932,267
247,0.27220947964067466,0.33379298928165346,0.3508165348406453,272
248,0.2225513998401464,0.2773125804745495,0.3018085886996588,277
249,0.2297406615159508,0.2908830283405202,0.318822931629464,262
250,0.2614114238585682,0.3207463669480786,0.33970023344197464,244
251,0.2242620408924246,0.2798738357434901,0.3027169625212638,272
252,0.2283572229168268,0.2853982859120177,0.3057362403326796,282
253,0.222305998285177,0.2763191674385685,0.3018085886996588,257
254,0.2224571267602441,0.2798738357434901,0.3055726333563632,259
255,0.236841263126696,0.29811460445996235,0.3138775859585222,302
256,0.2228344264478554,0.2798738357434901,0.3061423885849738,256
257,0.2635449660313971,0.3260765490856002,0.3488758936849697,288
258,0.2331667147670941,0.2921062930442765,0.3138775859585222,260
259,0.23347763629010682,0.2922321550118127,0.3237154537796985,280
260,0.2592928289746888,0.3258880432951644,0.3457936104342875,260
261,0.24969194139511475,0.3201679652089314,0.3397972511480355,262
262,0.2479825925621485,0.31158441635744955,0.3164778292559035,288
263,0.2614114238585682,0.32712790980849915,0.3508165348406453,276
264,0.22288156298780654,0.2792287072966746,0.30605844610027977,264
265,0.2592928289746888,0.32045716607850505,0.3325831437287708,280
266,0.2227199369335751,0.2798738357434901,0.3056522978479856,253
267,0.2519862271506376,0.3207463669480786,0.3503940473264416,275
268,0.2311241001150748,0.2921062930442765,0.318822931629464,258
269,0.2243189748024541,0.2845328056159096,0.3069087782979427,271
270,0.2560598180165894,0.3222396614582293,0.3339897366429449,263
271,0.22896309794785716,0.2919804310767402,0.3096279725491575,290
272,0.2731810900216507,0.3373916898313984,0.35060529108354344,262
273,0.2243189748024541,0.2853982859120177,0.3096279725491575,265
274,0.23347763629010682,0.29268044430993534,0.3110441366865876,294
275,0.22686476625974544,0.2873710013112353,0.31620869629972925,252
276,0.251401290228081,0.3201679652089314,0.3339686828903065,273
277,0.22792213629320512,0.28967571619398774,0.3069087782979427,282
278,0.22406144205798395,0.2795367314164046,0.3056964080868684,278
279,0.2331667147670941,0.2922321550118127,0.3124603008240177,255
280,0.2283572229168268,0.2873710013112353,0.3133480325419154,289
281,0.22896309794785716,0.2897856256043002,0.3164778292559035,286
282,0.23813766282510296,0.29811460445996235,0.3136224450347014,274
283,0.2670031859747757,0.3222396614582293,0.3334242477859789,267
284,0.2479825925621485,0.31920616118082457,0.34560217033764595,258
285,0.24063311932313153,0.2970628928225415,0.3312162367190932,284
286,0.2102890964365424,0.2622371951681922,0.286100800596266,269
287,0.2252214001327309,0.2845328056159096,0.3055726333563632,267
288,0.2743799301469627,0.3429291873260812,0.3628238054207248,265
289,0.2450599769385572,0.3084956403659772,0.3325831437287708,264
290,0.2311241001150748,0.2919804310767402,0.3124603008240177,276
291,0.24710389843511635,0.30892927549496096,0.3325831437287708,264
292,0.2434290734458516,0.308277376392337,0.3124603008240177,283
293,0.235759514163908,0.299671352037633,0.3325831437287708,255
294,0.2247201724713354,0.2873710013112353,0.3136224450347014,277
295,0.2466908804312628,0.3140241860645946,0.3339897366429449,249
296,0.2232117261354667,0.2789206831769446,0.3058201828173736,259
297,0.270946260672701,0.3201679652089314,0.3326397646085046,283
298,0.2337885578131195,0.293128733608058,0.314132726882343,271
299,0.2337885578131195,0.2922321550118127,0.328607975929933,239
300,0.2311241001150748,0.2919804310767402,0.3096279725491575,263
301,0.2243189748024541,0.28193076468083134,0.3098601149894191,254
302,0.2560598180165894,0.3175159416037659,0.3334242477859789,277
303,0.2405158114862979,0.2970628928225415,0.3182846657171155,260
304,0.2232117261354667,0.2798738357434901,0.3029799609453225,259
305,0.2466908804312628,0.3087139043396174,0.3334242477859789,289
306,0.2466908804312628,0.31158441635744955,0.3330036957573749,258
307,0.222305998285177,0.2839605824146379,0.306464594352574,265
308,0.2670031859747757,0.3175159416037659,0.3323747462074982,283
309,0.2283572229168268,0.2913044791597471,0.3096279725491575,259
310,0.2224571267602441,0.2839605824146379,0.306464594352574,269
311,0.2295689729788875,0.2919804310767402,0.314132726882343,271
312,0.2627361016291179,0.3223141758343399,0.3457936104342875,276
313,0.26948999422672454,0.32763568048594005,0.3519090986770024,266
314,0.251401290228081,0.3207463669480786,0.3325831437287708,283
315,0.2337885578131195,0.299671352037633,0.328607975929933,274
316,0.235759514163908,0.293128733608058,0.3136224450347014,271
317,0.24969194139511475,0.31158441635744955,0.3317954914632957,288
318,0.2331667147670941,0.293128733608058,0.3312162367190932,263
319,0.25574401815804976,0.3140241860645946,0.3330036957573749,278
